speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
20,brake,50,complete,3,3,-8.720875286170129,0.0,velocity_derived,0.0,0.0,-8.720875286170129,8.720875286170129,0.0,8.720875286170129,0.015535949412123884,13.429975607405323,12.79191003746923,0.04011957300826907,0.06404724600724876,5.491324424743652,2.67984676361084,2.8114776611328125,0.0,0.29205168900080025,47.93671985907138,0.0,['simulator_acceleration_field_stuck'],0.34985268237997114,8.371022603790157
20,brake,60,complete,3,3,-9.552986093954809,0.0,velocity_derived,0.0,0.0,-9.552986093954809,9.552986093954809,0.0,9.552986093954809,0.046224929207534515,14.630598612581192,13.373951595697458,0.03414439901825972,0.05401247600093484,5.492707252502441,2.233889579772949,3.257699966430664,0.0,0.32222824401105754,46.4109699025646,2.384185793236071e-08,['simulator_acceleration_field_stuck'],0.34985268237997114,9.203133411574838
20,brake,70,complete,3,3,-9.755250597054719,0.0,velocity_derived,0.0,0.0,-9.755250597054719,9.755250597054719,0.0,9.755250597054719,0.1828136303527632,15.16141715925845,14.65614745438062,0.034044921019813046,0.058147425996139646,5.493349075317383,2.4002559185028076,3.093093156814575,0.0,0.28027162700891495,48.86051472509922,1.1920928910669204e-08,['simulator_acceleration_field_stuck'],0.34985268237997114,9.405397914674747
20,brake,80,complete,3,3,-9.55408200131498,0.0,velocity_derived,0.0,0.0,-9.55408200131498,9.55408200131498,0.0,9.55408200131498,0.03184651526798277,14.795727420088085,14.369591306011099,0.04198078898480162,0.04198078898480162,5.493354320526123,2.0985519886016846,3.3951003551483154,0.0,0.3500377260206733,48.56619368792259,1.1920928910669204e-08,['simulator_acceleration_field_stuck'],0.34985268237997114,9.204229318935008
20,brake,90,complete,3,3,-9.532766700254987,0.0,velocity_derived,0.0,0.0,-9.532766700254987,9.532766700254987,0.0,9.532766700254987,0.020843661075549136,15.800643291763176,15.140736871342664,0.043666317011229694,0.04428050000569783,5.491415023803711,2.2578303813934326,3.2355778217315674,0.0,0.30003597898758017,48.566339858355484,2.384185793236071e-08,['simulator_acceleration_field_stuck'],0.34985268237997114,9.182914017875015
20,brake,100,complete,3,3,-9.70229883801358,0.0,velocity_derived,0.0,0.0,-9.70229883801358,9.70229883801358,0.0,9.70229883801358,0.2219429272352098,16.779350521463222,15.442409149466753,0.04405575300916098,0.07226759000332095,5.493661403656006,2.262970447540283,3.2306549549102783,0.0,0.3177846960024908,46.89089436420764,0.0,['simulator_acceleration_field_stuck'],0.34985268237997114,9.352446155633608
25,brake,0,complete,3,3,-0.26571956123109164,0.0,velocity_derived,0.0,0.0,-0.26571956123109164,0.26571956123109164,0.0,0.26571956123109164,0.00017293602856593981,0.4873711901154233,0.3929715221541319,,,6.820113182067871,6.452971458435059,0.36658716201782227,0.0,1.3339483439922333,47.977869824000194,0.0,['simulator_acceleration_field_stuck'],0.26571956123109164,0.0
25,brake,10,complete,3,3,-1.6150559849862716,0.0,velocity_derived,0.0,0.0,-1.6150559849862716,1.6150559849862716,0.0,1.6150559849862716,0.011167182007242982,4.332164588201659,2.8840411632727356,0.04642046199296601,0.05047589700552635,6.820464611053467,4.55511999130249,2.265835762023926,0.0,1.3776408240082674,47.907987952891794,1.4901161138336505e-09,['simulator_acceleration_field_stuck'],0.26571956123109164,1.34933642375518
25,brake,20,complete,3,3,-2.3841045703924624,0.0,velocity_derived,0.0,0.0,-2.3841045703924624,2.3841045703924624,0.0,2.3841045703924624,0.0029354626498068193,4.597317624801702,3.4099406783455564,0.032282809988828376,0.06015210397890769,6.8204803466796875,5.004782676696777,1.8157143592834473,0.0,0.7138282399973832,49.031402848573634,2.980232227667301e-09,['simulator_acceleration_field_stuck'],0.26571956123109164,2.1183850091613707
25,brake,30,complete,3,3,-4.356493301064447,0.0,velocity_derived,0.0,0.0,-4.356493301064447,4.356493301064447,0.0,4.356493301064447,0.031612029832083444,7.178428172883323,6.838347514719295,0.046053964004386216,0.04839016200276092,6.820873737335205,4.604599952697754,2.216273784637451,0.0,0.48364148000837304,49.14237495254889,1.1920928966180355e-08,['simulator_acceleration_field_stuck'],0.26571956123109164,4.090773739833355
