speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
10,accelerator,60,complete,3,3,2.6853717168585534,0.0,velocity_derived,0.0,0.0,2.6853717168585534,2.6853717168585534,0.0,0.0,0.0,0.0,0.0,,,2.757051467895508,6.490704536437988,-3.7261433601379395,0.0,1.3493543899967335,48.60035065834053,,['simulator_acceleration_field_stuck'],,
10,accelerator,70,complete,3,3,2.8881390941334764,0.0,velocity_derived,0.0,0.0,2.8881390941334764,2.8881390941334764,0.0,0.0,0.0,0.0,0.0,,,2.7723584175109863,6.807379722595215,-4.0350213050842285,0.0,1.3578120949969161,47.87113050436307,,['simulator_acceleration_field_stuck'],,
10,accelerator,80,complete,3,3,3.1640814538531945,0.0,velocity_derived,0.0,0.0,3.1640814538531945,3.1640814538531945,0.0,0.0,0.0,0.0,0.0,,,2.7723898887634277,7.297404766082764,-4.518235683441162,0.0,1.341693636000855,48.44623113346763,,['simulator_acceleration_field_stuck'],,
10,accelerator,90,complete,3,3,3.6248561928116807,0.0,velocity_derived,0.0,0.0,3.6248561928116807,3.6248561928116807,0.0,0.0,0.0,0.0004035807625795211,0.0,,,2.7752652168273926,8.064570426940918,-5.289305210113525,0.0,1.3419582089991309,48.642038108521156,,['simulator_acceleration_field_stuck'],,
10,accelerator,100,complete,3,3,4.003169592263502,0.0,velocity_derived,0.0,0.0,4.003169592263502,4.003169592263502,0.0,0.0,0.0,0.0,0.0,,,2.7670698165893555,8.561038970947266,-5.79396915435791,0.0,1.3542471099935938,48.735566436107966,,['simulator_acceleration_field_stuck'],,
15,accelerator,0,complete,3,3,-0.23647092079201365,0.0,velocity_derived,0.0,0.0,-0.23647092079201365,0.23647092079201365,0.0,0.23647092079201365,0.0013006720788645842,0.4379032095681381,0.3964185043484766,,,4.165661811828613,3.832597494125366,0.33408308029174805,0.0,1.3519393210008275,48.81875907798942,,['simulator_acceleration_field_stuck'],,
15,accelerator,10,complete,3,3,0.4900526631286033,0.0,velocity_derived,0.0,0.0,0.4900526631286033,0.4900526631286033,0.0,0.0,0.0,0.0,0.0,,,4.136147499084473,4.832832336425781,-0.6891727447509766,0.0,1.3402700290025678,48.52012712812859,,['simulator_acceleration_field_stuck'],,
15,accelerator,20,complete,3,3,1.0219409881290091,0.0,velocity_derived,0.0,0.0,1.0219409881290091,1.0219409881290091,0.0,0.0,0.0,0.0,0.0,,,4.1355743408203125,5.546885967254639,-1.4109292030334473,0.0,1.3342013990040869,49.32973716703795,,['simulator_acceleration_field_stuck'],,
15,accelerator,30,complete,3,3,1.490384705020031,0.0,velocity_derived,0.0,0.0,1.490384705020031,1.490384705020031,0.0,0.0,0.0,2.98617285321584e-05,0.0,,,4.12733793258667,6.164637088775635,-2.0388717651367188,0.0,1.3481730010244064,48.81932305273002,,['simulator_acceleration_field_stuck'],,
15,accelerator,40,complete,3,3,1.7189874898110808,0.0,velocity_derived,0.0,0.0,1.7189874898110808,1.7189874898110808,0.0,0.0,0.0,3.02441554701698e-05,0.0,,,4.125674247741699,6.466431140899658,-2.339216709136963,0.0,1.3260733740171418,49.24730773094763,,['simulator_acceleration_field_stuck'],,
